id,chain_length,unique_addresses,unique_wallets,dominant_wallet,dominant_wallet_percentage
913d6313-099d-4fc9-a898-56f8c4a4903f,716,716,76,[0025d633f8],50.13966480446928
3987c8b0-3a68-494b-9d44-ac00d06b3b3f,441,441,1,[00002c4379],100.0
4e405d95-e485-4cbf-8b5e-d7fd46f18222,351,351,5,[0025d633f8],79.2022792022792
b5485f81-e296-429d-87dc-9e7448a713ad,292,292,5,[000f35cb33],75.68493150684932
07406b36-b261-4a81-8073-cf6d2c86c110,272,272,2,[000305c34c],99.63235294117648
19fefd90-1afc-4d48-8276-a725dfd2068b,245,245,20,[001b861dc5],54.285714285714285
1a4921fc-cb2a-4e98-9867-9cd567492ebf,242,242,25,[004bf37491],71.900826446281
b883805a-9468-4e51-98e5-506e88d8e6f6,234,234,11,[0005f727db],88.03418803418803
7ccd20d9-12a1-449f-aa51-fea9927b3634,232,232,3,[0012ea9acf],93.96551724137932
1e060dc2-2622-42d6-8dc1-cf11eacd395d,228,228,36,[0012ea9acf],78.50877192982456
